TES|31/12/2021|1|IT01033011006|31/12/2021|S-2100899||||
RIG|31/12/2021|1||||1014417||7813|3.92
RIG|31/12/2021|1||||1014417||19911|2.68
RIG|31/12/2021|1||||1014417||11355|1.04
RIG|31/12/2021|1||||1014417||30562|0.71
RIG|31/12/2021|1||||1014417||57236|0.20
RIG|31/12/2021|1||||1014417||1|1950.67
TES|31/12/2021|2|IT01033011006|31/12/2021|S-2100900||||
RIG|31/12/2021|2||||1014993||4238|2.68
RIG|31/12/2021|2||||1014993||1355|0.71
TES|31/12/2021|3|IT01033011006|31/12/2021|S-2100919||||
RIG|31/12/2021|3||||1015588||150|20.03
TES|07/05/2021|4|IT09319650967|07/05/2021|2021013335_45714_COV20||||
RIG|07/05/2021|4||||FT-200-LR||3840.00|0.07813
RIG|07/05/2021|4||||FT-1000-LR||3840.00|0.07813
RIG|07/05/2021|4||||FT-10-LR||4800.00|0.07813
TES|24/01/2022|5|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|5||||50327882||4|135.00000
TES|24/01/2022|6|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|6||||85410||1|200.0000000
TES|04/11/2021|7|IT04743741003|04/11/2021|S1-2021-198||||
RIG|04/11/2021|7||||4015973||45032.94|4.3400000
RIG|04/11/2021|7||||4015970||151282.44|0.3100000
RIG|04/11/2021|7||||4015972||11389.68|2.4400000
RIG|04/11/2021|7||||4015974||11691.3|5.6900000
RIG|04/11/2021|7||||4015971||82163|1.4500000
