TES;31/12/2021;1;IT01033011006;31/12/2021;S-2100899;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100899]";CIG:9012768370;
RIG;31/12/2021;1;;;;1014417;;7813;3.920;
RIG;31/12/2021;1;;;;1014417;;19911;2.680;
RIG;31/12/2021;1;;;;1014417;;11355;1.040;
RIG;31/12/2021;1;;;;1014417;;30562;0.710;
RIG;31/12/2021;1;;;;1014417;;57236;0.200;
RIG;31/12/2021;1;;;;1014417;;1;1950.670;
TES;31/12/2021;2;IT01033011006;31/12/2021;S-2100900;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100900]";CIG:9012768370;
RIG;31/12/2021;2;;;;1014993;;4238;2.680;
RIG;31/12/2021;2;;;;1014993;;1355;0.710;
TES;31/12/2021;4;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";CIG:9012768370;
RIG;31/12/2021;4;;;;1015588;;150;20.030;
TES;31/01/2022;5;IT01033011006;31/01/2022;S-2200151;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/01/2022];[DatiOrdineAcquisto|IdDocumento|S-2200151]";CIG:9012768370;
RIG;31/01/2022;5;;;;1014417;;7813;3.920;
RIG;31/01/2022;5;;;;1014417;;19911;2.680;
RIG;31/01/2022;5;;;;1014417;;11355;1.040;
RIG;31/01/2022;5;;;;1014417;;30562;0.710;
RIG;31/01/2022;5;;;;1014417;;57236;0.200;
RIG;31/01/2022;5;;;;1014417;;1;1950.670;
TES;31/01/2022;6;IT01033011006;31/01/2022;S-2200152;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/01/2022];[DatiOrdineAcquisto|IdDocumento|S-2200152]";CIG:9012768370;
RIG;31/01/2022;6;;;;1014993;;3846;2.680;
RIG;31/01/2022;6;;;;1014993;;1355;0.710;
TES;07/05/2021;9;IT09319650967;07/05/2021;2021013335_45714_COV20;;;;;"[CedentePrestatore|RiferimentoAmministrazione|RZL4IM];[DatiOrdineAcquisto|Data|07/05/2021];[DatiOrdineAcquisto|IdDocumento|2021013335_45714_COV20]";ZA5319E7C2;
RIG;07/05/2021;9;;;;FT-200-LR;;3840.00;0.078;
RIG;07/05/2021;9;;;;FT-1000-LR;;3840.00;0.078;
RIG;07/05/2021;9;;;;FT-10-LR;;4800.00;0.078;
TES;24/01/2022;10;IT06485540485;24/01/2022;202200230491;;;;;"[CedentePrestatore|RiferimentoAmministrazione|IKS6CP];[DatiOrdineAcquisto|Data|24/01/2022];[DatiOrdineAcquisto|IdDocumento|202200230491]";CIG:80269153CE;
RIG;24/01/2022;10;;;;50327882;;4;135.000;
TES;24/01/2022;11;IT02060250996;24/01/2022;01-2022-2201;;;;;"[CedentePrestatore|RiferimentoAmministrazione|BNVANZ];[DatiOrdineAcquisto|Data|24/01/2022];[DatiOrdineAcquisto|IdDocumento|01-2022-2201]";ZD734E67C6;
RIG;24/01/2022;11;;;;85410;;1;200.000;
TES;04/11/2021;12;IT04743741003;04/11/2021;S1-2021-198;;;;;"[CedentePrestatore|RiferimentoAmministrazione|WQY18W];[DatiOrdineAcquisto|Data|04/11/2021];[DatiOrdineAcquisto|IdDocumento|S1-2021-198]";8828405646;
RIG;04/11/2021;12;;;;4015973;;45032.94;4.340;
RIG;04/11/2021;12;;;;4015970;;151282.44;0.310;
RIG;04/11/2021;12;;;;4015972;;11389.68;2.440;
RIG;04/11/2021;12;;;;4015974;;11691.3;5.690;
RIG;04/11/2021;12;;;;4015971;;82163;1.450;
