TES|01/01/1970|1||01/01/1970|||||
RIG|01/01/1970|1||||!!!|
RIG|01/01/1970|1||||!!!|
RIG|01/01/1970|1||||!!!|
TES|01/01/1970|2||01/01/1970|||||
RIG|01/01/1970|2||||!!!|
RIG|01/01/1970|2||||!!!|
RIG|01/01/1970|2||||!!!|
TES|01/01/1970|3||01/01/1970|||||
RIG|01/01/1970|3||||!!!|
RIG|01/01/1970|3||||!!!|
RIG|01/01/1970|3||||!!!|
TES|01/01/1970|4||01/01/1970|||||
RIG|01/01/1970|4||||!!!|
RIG|01/01/1970|4||||!!!|
RIG|01/01/1970|4||||!!!|
TES|01/01/1970|5||01/01/1970|||||
RIG|01/01/1970|5||||!!!|
RIG|01/01/1970|5||||!!!|
RIG|01/01/1970|5||||!!!|
