TES|24/01/2022|37|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|37||||50327882||4|135.00000
TES|24/01/2022|38|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|38||||50327882||4|135.00000
TES|24/01/2022|39|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|39||||50327882||4|135.00000
TES|24/01/2022|40|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|40||||50327882||4|135.00000
TES|24/01/2022|41|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|41||||50327882||4|135.00000
TES|24/01/2022|42|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|42||||50327882||4|135.00000
TES|24/01/2022|43|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|43||||50327882||4|135.00000
TES|24/01/2022|44|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|44||||85410||1|200.0000000
TES|24/01/2022|45|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|45||||85410||1|200.0000000
TES|24/01/2022|46|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|46||||85410||1|200.0000000
TES|24/01/2022|47|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|47||||85410||1|200.0000000
TES|24/01/2022|48|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|48||||85410||1|200.0000000
TES|24/01/2022|49|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|49||||85410||1|200.0000000
TES|24/01/2022|50|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|50||||85410||1|200.0000000
